departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global;distrito
La Libertad;Trujillo;130101;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";38.5307;0;0;100;99.961079717089;Trujillo
La Libertad;Trujillo;130101;2g;claro;2g;"{""area_garant"": 64.3545, ""area_adicio"": 99.9647}";38.5307;64.3545;99.9647;100;99.961079717089;Trujillo
La Libertad;Trujillo;130101;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 99.9889}";38.5307;0;99.9889;100;99.961079717089;Trujillo
La Libertad;Trujillo;130101;2g;movistar;2g;"{""area_garant"": 99.9504, ""area_adicio"": 100}";38.5307;99.9504;100;100;99.961079717089;Trujillo
La Libertad;Trujillo;130101;3g;bitel;3g;"{""area_garant"": 94.5739, ""area_adicio"": 99.6052}";38.5307;94.5739;99.6052;100;97.221852212485;Trujillo
La Libertad;Trujillo;130101;3g;claro;3g;"{""area_garant"": 34.847, ""area_adicio"": 99.9294}";38.5307;34.847;99.9294;100;97.221852212485;Trujillo
La Libertad;Trujillo;130101;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 99.9912}";38.5307;0;99.9912;100;97.221852212485;Trujillo
La Libertad;Trujillo;130101;3g;movistar;3g;"{""area_garant"": 28.2451, ""area_adicio"": 39.6338}";38.5307;28.2451;39.6338;100;97.221852212485;Trujillo
La Libertad;Trujillo;130101;4g;bitel;4g;"{""area_garant"": 88.7549, ""area_adicio"": 100}";38.5307;88.7549;100;100;100;Trujillo
La Libertad;Trujillo;130101;4g;claro;4g;"{""area_garant"": 24.7309, ""area_adicio"": 95.2985}";38.5307;24.7309;95.2985;100;100;Trujillo
La Libertad;Trujillo;130101;4g;entel;4g;"{""area_garant"": 3.5318, ""area_adicio"": 100}";38.5307;3.5318;100;100;100;Trujillo
La Libertad;Trujillo;130101;4g;movistar;4g;"{""area_garant"": 100, ""area_adicio"": 100}";38.5307;100;100;100;100;Trujillo
La Libertad;Trujillo;130101;5g;bitel;5g;"{""area_garant"": 13.5401, ""area_adicio"": 53.9827}";38.5307;13.5401;53.9827;99.704261557757;13.734441104972;Trujillo
La Libertad;Trujillo;130101;5g;claro;5g;"{""area_garant"": 0.2378, ""area_adicio"": 13.5691}";38.5307;0.2378;13.5691;99.704261557757;13.734441104972;Trujillo
La Libertad;Trujillo;130101;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 99.5654}";38.5307;0;99.5654;99.704261557757;13.734441104972;Trujillo
La Libertad;Trujillo;130101;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";38.5307;0;0;99.704261557757;13.734441104972;Trujillo
La Libertad;Trujillo;130102;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";17.935;0;0;100;91.5212;El Porvenir
La Libertad;Trujillo;130102;2g;claro;2g;"{""area_garant"": 24.2133, ""area_adicio"": 99.1821}";17.935;24.2133;99.1821;100;91.5212;El Porvenir
La Libertad;Trujillo;130102;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 100}";17.935;0;100;100;91.5212;El Porvenir
La Libertad;Trujillo;130102;2g;movistar;2g;"{""area_garant"": 90.85, ""area_adicio"": 99.8896}";17.935;90.85;99.8896;100;91.5212;El Porvenir
La Libertad;Trujillo;130102;3g;bitel;3g;"{""area_garant"": 94.926, ""area_adicio"": 99.8786}";17.935;94.926;99.8786;100;95.5975;El Porvenir
La Libertad;Trujillo;130102;3g;claro;3g;"{""area_garant"": 23.1024, ""area_adicio"": 99.7681}";17.935;23.1024;99.7681;100;95.5975;El Porvenir
La Libertad;Trujillo;130102;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 100}";17.935;0;100;100;95.5975;El Porvenir
La Libertad;Trujillo;130102;3g;movistar;3g;"{""area_garant"": 0, ""area_adicio"": 0.0685}";17.935;0;0.0685;100;95.5975;El Porvenir
La Libertad;Trujillo;130102;4g;bitel;4g;"{""area_garant"": 86.363, ""area_adicio"": 99.9954}";17.935;86.363;99.9954;100;100;El Porvenir
La Libertad;Trujillo;130102;4g;claro;4g;"{""area_garant"": 17.3058, ""area_adicio"": 88.0178}";17.935;17.3058;88.0178;100;100;El Porvenir
La Libertad;Trujillo;130102;4g;entel;4g;"{""area_garant"": 2.9281, ""area_adicio"": 100}";17.935;2.9281;100;100;100;El Porvenir
La Libertad;Trujillo;130102;4g;movistar;4g;"{""area_garant"": 99.7509, ""area_adicio"": 100}";17.935;99.7509;100;100;100;El Porvenir
La Libertad;Trujillo;130102;5g;bitel;5g;"{""area_garant"": 25.7689, ""area_adicio"": 76.9911}";17.935;25.7689;76.9911;93.3726;25.7689;El Porvenir
La Libertad;Trujillo;130102;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17.935;0;0;93.3726;25.7689;El Porvenir
La Libertad;Trujillo;130102;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 64.8611}";17.935;0;64.8611;93.3726;25.7689;El Porvenir
La Libertad;Trujillo;130102;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17.935;0;0;93.3726;25.7689;El Porvenir
La Libertad;Trujillo;130103;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";3.6104;0;0;100;100;Florencia de Mora
La Libertad;Trujillo;130103;2g;claro;2g;"{""area_garant"": 52.1471, ""area_adicio"": 100}";3.6104;52.1471;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 100}";3.6104;0;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;2g;movistar;2g;"{""area_garant"": 100, ""area_adicio"": 100}";3.6104;100;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;3g;bitel;3g;"{""area_garant"": 93.0269, ""area_adicio"": 100}";3.6104;93.0269;100;100;94.0163;Florencia de Mora
La Libertad;Trujillo;130103;3g;claro;3g;"{""area_garant"": 21.726, ""area_adicio"": 100}";3.6104;21.726;100;100;94.0163;Florencia de Mora
La Libertad;Trujillo;130103;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 100}";3.6104;0;100;100;94.0163;Florencia de Mora
La Libertad;Trujillo;130103;3g;movistar;3g;"{""area_garant"": 2.1268, ""area_adicio"": 18.9793}";3.6104;2.1268;18.9793;100;94.0163;Florencia de Mora
La Libertad;Trujillo;130103;4g;bitel;4g;"{""area_garant"": 89.6684, ""area_adicio"": 100}";3.6104;89.6684;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;4g;claro;4g;"{""area_garant"": 13.9312, ""area_adicio"": 89.2151}";3.6104;13.9312;89.2151;100;100;Florencia de Mora
La Libertad;Trujillo;130103;4g;entel;4g;"{""area_garant"": 3.6001, ""area_adicio"": 100}";3.6104;3.6001;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;4g;movistar;4g;"{""area_garant"": 100, ""area_adicio"": 100}";3.6104;100;100;100;100;Florencia de Mora
La Libertad;Trujillo;130103;5g;bitel;5g;"{""area_garant"": 0.3227, ""area_adicio"": 22.0707}";3.6104;0.3227;22.0707;96.2687;0.3227;Florencia de Mora
La Libertad;Trujillo;130103;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3.6104;0;0;96.2687;0.3227;Florencia de Mora
La Libertad;Trujillo;130103;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 96.2243}";3.6104;0;96.2243;96.2687;0.3227;Florencia de Mora
La Libertad;Trujillo;130103;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3.6104;0;0;96.2687;0.3227;Florencia de Mora
La Libertad;Trujillo;130104;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";317.3316;0;0;100;85.739132755363;Huanchaco
La Libertad;Trujillo;130104;2g;claro;2g;"{""area_garant"": 23.9384, ""area_adicio"": 99.951}";317.3316;23.9384;99.951;100;85.739132755363;Huanchaco
La Libertad;Trujillo;130104;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 99.7488}";317.3316;0;99.7488;100;85.739132755363;Huanchaco
La Libertad;Trujillo;130104;2g;movistar;2g;"{""area_garant"": 85.0326, ""area_adicio"": 99.1324}";317.3316;85.0326;99.1324;100;85.739132755363;Huanchaco
La Libertad;Trujillo;130104;3g;bitel;3g;"{""area_garant"": 64.2247, ""area_adicio"": 88.7868}";317.3316;64.2247;88.7868;100;69.096532519912;Huanchaco
La Libertad;Trujillo;130104;3g;claro;3g;"{""area_garant"": 19.0528, ""area_adicio"": 98.235}";317.3316;19.0528;98.235;100;69.096532519912;Huanchaco
La Libertad;Trujillo;130104;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 99.8907}";317.3316;0;99.8907;100;69.096532519912;Huanchaco
La Libertad;Trujillo;130104;3g;movistar;3g;"{""area_garant"": 3.1117, ""area_adicio"": 4.231}";317.3316;3.1117;4.231;100;69.096532519912;Huanchaco
La Libertad;Trujillo;130104;4g;bitel;4g;"{""area_garant"": 83.8243, ""area_adicio"": 98.1786}";317.3316;83.8243;98.1786;100;99.77119779228;Huanchaco
La Libertad;Trujillo;130104;4g;claro;4g;"{""area_garant"": 12.9864, ""area_adicio"": 78.6764}";317.3316;12.9864;78.6764;100;99.77119779228;Huanchaco
La Libertad;Trujillo;130104;4g;entel;4g;"{""area_garant"": 1.79, ""area_adicio"": 99.6197}";317.3316;1.79;99.6197;100;99.77119779228;Huanchaco
La Libertad;Trujillo;130104;4g;movistar;4g;"{""area_garant"": 98.8863, ""area_adicio"": 100}";317.3316;98.8863;100;100;99.77119779228;Huanchaco
La Libertad;Trujillo;130104;5g;bitel;5g;"{""area_garant"": 3.7707, ""area_adicio"": 20.181}";317.3316;3.7707;20.181;48.629920165979;3.7706956804837;Huanchaco
La Libertad;Trujillo;130104;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";317.3316;0;0;48.629920165979;3.7706956804837;Huanchaco
La Libertad;Trujillo;130104;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 33.2253}";317.3316;0;33.2253;48.629920165979;3.7706956804837;Huanchaco
La Libertad;Trujillo;130104;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";317.3316;0;0;48.629920165979;3.7706956804837;Huanchaco
La Libertad;Trujillo;130105;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";21.7221;0;0;100;93.2653;La Esperanza
La Libertad;Trujillo;130105;2g;claro;2g;"{""area_garant"": 35.077, ""area_adicio"": 98.884}";21.7221;35.077;98.884;100;93.2653;La Esperanza
La Libertad;Trujillo;130105;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 100}";21.7221;0;100;100;93.2653;La Esperanza
La Libertad;Trujillo;130105;2g;movistar;2g;"{""area_garant"": 92.9963, ""area_adicio"": 100}";21.7221;92.9963;100;100;93.2653;La Esperanza
La Libertad;Trujillo;130105;3g;bitel;3g;"{""area_garant"": 87.8801, ""area_adicio"": 99.8792}";21.7221;87.8801;99.8792;100;93.2822;La Esperanza
La Libertad;Trujillo;130105;3g;claro;3g;"{""area_garant"": 30.4811, ""area_adicio"": 99.9377}";21.7221;30.4811;99.9377;100;93.2822;La Esperanza
La Libertad;Trujillo;130105;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 100}";21.7221;0;100;100;93.2822;La Esperanza
