departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global
Amazonas;Chachapoyas;0101XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";2911.1734;0;0;93.753525832963;60.502962063506
Amazonas;Chachapoyas;0101XX;2g;claro;2g;"{""area_garant"": 40.6205, ""area_adicio"": 73.0727}";2911.1734;40.6205;73.0727;93.753525832963;60.502962063506
Amazonas;Chachapoyas;0101XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 62.1648}";2911.1734;0;62.1648;93.753525832963;60.502962063506
Amazonas;Chachapoyas;0101XX;2g;movistar;2g;"{""area_garant"": 41.4323, ""area_adicio"": 90.5744}";2911.1734;41.4323;90.5744;93.753525832963;60.502962063506
Amazonas;Chachapoyas;0101XX;3g;bitel;3g;"{""area_garant"": 63.2387, ""area_adicio"": 75.7144}";2911.1734;63.2387;75.7144;86.085517950725;70.597566692164
Amazonas;Chachapoyas;0101XX;3g;claro;3g;"{""area_garant"": 25.0378, ""area_adicio"": 76.4944}";2911.1734;25.0378;76.4944;86.085517950725;70.597566692164
Amazonas;Chachapoyas;0101XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 80.4128}";2911.1734;0;80.4128;86.085517950725;70.597566692164
Amazonas;Chachapoyas;0101XX;3g;movistar;3g;"{""area_garant"": 61.5637, ""area_adicio"": 71.4762}";2911.1734;61.5637;71.4762;86.085517950725;70.597566692164
Amazonas;Chachapoyas;0101XX;4g;bitel;4g;"{""area_garant"": 58.9609, ""area_adicio"": 69.3691}";2911.1734;58.9609;69.3691;93.657649541937;63.564049485013
Amazonas;Chachapoyas;0101XX;4g;claro;4g;"{""area_garant"": 17.5148, ""area_adicio"": 70.6264}";2911.1734;17.5148;70.6264;93.657649541937;63.564049485013
Amazonas;Chachapoyas;0101XX;4g;entel;4g;"{""area_garant"": 1.4738, ""area_adicio"": 85.1095}";2911.1734;1.4738;85.1095;93.657649541937;63.564049485013
Amazonas;Chachapoyas;0101XX;4g;movistar;4g;"{""area_garant"": 56.9152, ""area_adicio"": 87.8896}";2911.1734;56.9152;87.8896;93.657649541937;63.564049485013
Amazonas;Chachapoyas;0101XX;5g;bitel;5g;"{""area_garant"": 20.6924, ""area_adicio"": 50.5777}";2911.1734;20.6924;50.5777;50.577729129236;20.69239653829
Amazonas;Chachapoyas;0101XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2911.1734;0;0;50.577729129236;20.69239653829
Amazonas;Chachapoyas;0101XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2911.1734;0;0;50.577729129236;20.69239653829
Amazonas;Chachapoyas;0101XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2911.1734;0;0;50.577729129236;20.69239653829
Amazonas;Bagua;0102XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";5760.4778;0;0;81.993094991396;50.985015515983
Amazonas;Bagua;0102XX;2g;claro;2g;"{""area_garant"": 16.453, ""area_adicio"": 58.7365}";5760.4778;16.453;58.7365;81.993094991396;50.985015515983
Amazonas;Bagua;0102XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 49.1355}";5760.4778;0;49.1355;81.993094991396;50.985015515983
Amazonas;Bagua;0102XX;2g;movistar;2g;"{""area_garant"": 46.7386, ""area_adicio"": 72.3958}";5760.4778;46.7386;72.3958;81.993094991396;50.985015515983
Amazonas;Bagua;0102XX;3g;bitel;3g;"{""area_garant"": 46.7336, ""area_adicio"": 60.954}";5760.4778;46.7336;60.954;70.846074915263;59.014705913334
Amazonas;Bagua;0102XX;3g;claro;3g;"{""area_garant"": 12.5753, ""area_adicio"": 55.6577}";5760.4778;12.5753;55.6577;70.846074915263;59.014705913334
Amazonas;Bagua;0102XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 48.9851}";5760.4778;0;48.9851;70.846074915263;59.014705913334
Amazonas;Bagua;0102XX;3g;movistar;3g;"{""area_garant"": 36.9892, ""area_adicio"": 43.6335}";5760.4778;36.9892;43.6335;70.846074915263;59.014705913334
Amazonas;Bagua;0102XX;4g;bitel;4g;"{""area_garant"": 48.4976, ""area_adicio"": 70.3946}";5760.4778;48.4976;70.3946;75.739804893883;56.85399124472
Amazonas;Bagua;0102XX;4g;claro;4g;"{""area_garant"": 7.9163, ""area_adicio"": 43.2801}";5760.4778;7.9163;43.2801;75.739804893883;56.85399124472
Amazonas;Bagua;0102XX;4g;entel;4g;"{""area_garant"": 1.4816, ""area_adicio"": 56.8048}";5760.4778;1.4816;56.8048;75.739804893883;56.85399124472
Amazonas;Bagua;0102XX;4g;movistar;4g;"{""area_garant"": 31.3045, ""area_adicio"": 60.9585}";5760.4778;31.3045;60.9585;75.739804893883;56.85399124472
Amazonas;Bagua;0102XX;5g;bitel;5g;"{""area_garant"": 3.2509, ""area_adicio"": 7.807}";5760.4778;3.2509;7.807;7.8069430033373;3.2509284846431
Amazonas;Bagua;0102XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";5760.4778;0;0;7.8069430033373;3.2509284846431
Amazonas;Bagua;0102XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";5760.4778;0;0;7.8069430033373;3.2509284846431
Amazonas;Bagua;0102XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";5760.4778;0;0;7.8069430033373;3.2509284846431
Amazonas;Bongará;0103XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";2838.4899;0;0;89.271249108195;66.034071998479
Amazonas;Bongará;0103XX;2g;claro;2g;"{""area_garant"": 38.9411, ""area_adicio"": 73.0757}";2838.4899;38.9411;73.0757;89.271249108195;66.034071998479
Amazonas;Bongará;0103XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 40.8431}";2838.4899;0;40.8431;89.271249108195;66.034071998479
Amazonas;Bongará;0103XX;2g;movistar;2g;"{""area_garant"": 63.6728, ""area_adicio"": 84.1772}";2838.4899;63.6728;84.1772;89.271249108195;66.034071998479
Amazonas;Bongará;0103XX;3g;bitel;3g;"{""area_garant"": 57.9561, ""area_adicio"": 68.7597}";2838.4899;57.9561;68.7597;88.734962730557;63.900593416999
Amazonas;Bongará;0103XX;3g;claro;3g;"{""area_garant"": 13.3967, ""area_adicio"": 67.1936}";2838.4899;13.3967;67.1936;88.734962730557;63.900593416999
Amazonas;Bongará;0103XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 71.3372}";2838.4899;0;71.3372;88.734962730557;63.900593416999
Amazonas;Bongará;0103XX;3g;movistar;3g;"{""area_garant"": 36.4898, ""area_adicio"": 45.7236}";2838.4899;36.4898;45.7236;88.734962730557;63.900593416999
Amazonas;Bongará;0103XX;4g;bitel;4g;"{""area_garant"": 49.6676, ""area_adicio"": 65.4584}";2838.4899;49.6676;65.4584;90.667089868796;57.926051256893
Amazonas;Bongará;0103XX;4g;claro;4g;"{""area_garant"": 8.299, ""area_adicio"": 62.4497}";2838.4899;8.299;62.4497;90.667089868796;57.926051256893
Amazonas;Bongará;0103XX;4g;entel;4g;"{""area_garant"": 3.8198, ""area_adicio"": 80.4967}";2838.4899;3.8198;80.4967;90.667089868796;57.926051256893
Amazonas;Bongará;0103XX;4g;movistar;4g;"{""area_garant"": 21.2124, ""area_adicio"": 78.1956}";2838.4899;21.2124;78.1956;90.667089868796;57.926051256893
Amazonas;Bongará;0103XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2838.4899;0;0;0;0
Amazonas;Bongará;0103XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2838.4899;0;0;0;0
Amazonas;Bongará;0103XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2838.4899;0;0;0;0
Amazonas;Bongará;0103XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2838.4899;0;0;0;0
Amazonas;Condorcanqui;0104XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;42.940457384366;29.358249458834
Amazonas;Condorcanqui;0104XX;2g;claro;2g;"{""area_garant"": 0, ""area_adicio"": 7.9689}";17902.3065;0;7.9689;42.940457384366;29.358249458834
Amazonas;Condorcanqui;0104XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;42.940457384366;29.358249458834
Amazonas;Condorcanqui;0104XX;2g;movistar;2g;"{""area_garant"": 29.3582, ""area_adicio"": 42.9405}";17902.3065;29.3582;42.9405;42.940457384366;29.358249458834
Amazonas;Condorcanqui;0104XX;3g;bitel;3g;"{""area_garant"": 15.0952, ""area_adicio"": 22.1906}";17902.3065;15.0952;22.1906;22.203790444033;15.09516602914
Amazonas;Condorcanqui;0104XX;3g;claro;3g;"{""area_garant"": 0, ""area_adicio"": 7.4604}";17902.3065;0;7.4604;22.203790444033;15.09516602914
Amazonas;Condorcanqui;0104XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;22.203790444033;15.09516602914
Amazonas;Condorcanqui;0104XX;3g;movistar;3g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;22.203790444033;15.09516602914
Amazonas;Condorcanqui;0104XX;4g;bitel;4g;"{""area_garant"": 12.9571, ""area_adicio"": 21.8083}";17902.3065;12.9571;21.8083;26.786972772895;12.986144162812
Amazonas;Condorcanqui;0104XX;4g;claro;4g;"{""area_garant"": 0, ""area_adicio"": 3.9382}";17902.3065;0;3.9382;26.786972772895;12.986144162812
Amazonas;Condorcanqui;0104XX;4g;entel;4g;"{""area_garant"": 0.0347, ""area_adicio"": 4.3748}";17902.3065;0.0347;4.3748;26.786972772895;12.986144162812
Amazonas;Condorcanqui;0104XX;4g;movistar;4g;"{""area_garant"": 0.2415, ""area_adicio"": 12.9567}";17902.3065;0.2415;12.9567;26.786972772895;12.986144162812
Amazonas;Condorcanqui;0104XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;0;0
Amazonas;Condorcanqui;0104XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;0;0
Amazonas;Condorcanqui;0104XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;0;0
Amazonas;Condorcanqui;0104XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";17902.3065;0;0;0;0
Amazonas;Luya;0105XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";3312.3918;0;0;81.872280477713;43.883958446449
Amazonas;Luya;0105XX;2g;claro;2g;"{""area_garant"": 10.6285, ""area_adicio"": 52.4478}";3312.3918;10.6285;52.4478;81.872280477713;43.883958446449
