Año,Ranking,País,Valor FOB (USD),Valor Neto
2001,1,ESTADOS UNIDOS,"238,079.87","243,159.34"
2001,2,ESPAÑA,"92,619.24","55,157.43"
2001,3,ALEMANIA,"79,887.47","66,179.06"
2001,4,HOLANDA,"33,346.07","23,758.84"
2001,5,MEXICO,"29,284.56","32,603.21"
2001,6,FRANCIA,"26,000.39","16,369.22"
2001,7,INGLATERRA,"20,002.46","12,901.12"
2001,8,JAPON,"17,353.77","9,648.38"
2001,9,CHILE,"16,520.47","38,000.24"
2001,10,BOLIVIA,"15,055.96","13,064.67"
2001,11,COLOMBIA,"15,030.78","27,177.06"
2001,12,CANADA,"14,663.39","13,342.50"
2001,13,ECUADOR,"12,981.62","35,394.05"
2001,14,VENEZUELA,"12,912.27","20,415.30"
2001,15,ITALIA,"11,535.70","6,389.74"
2001,16,BELGICA,"9,546.57","7,039.75"
2001,17,HAITI,"7,679.68","10,488.56"
2001,18,BRASIL,"7,526.32","7,974.62"
2001,19,HONG KONG,"6,523.72","8,814.20"
2001,20,SUECIA,"5,789.08","4,794.82"
2001,21,DINAMARCA,"5,649.66","5,299.91"
2001,22,"COREA (SUR), REPUBLICA DE","5,417.57","4,621.24"
2001,23,SUIZA,"5,213.93","4,519.18"
2001,24,ARGENTINA,"4,487.56","2,757.13"
2001,25,PUERTO RICO,"4,047.10","3,642.16"
2001,26,AUSTRALIA,"3,690.56","2,059.44"
2001,27,REPUBLICA DOMINICANA,"3,387.68","3,448.68"
2001,28,ANTILLAS HOLANDESAS,"2,602.30",405.68
2001,29,GUATEMALA,"2,570.18","4,505.26"
2001,30,PORTUGAL,"2,321.59","2,330.60"
2001,31,CHINA,"1,792.04","3,276.34"
2001,32,PANAMA,"1,447.69","1,083.16"
2001,33,EL SALVADOR,"1,040.71",309.78
2001,34,NORUEGA,"1,031.47",981.81
2001,35,FINLANDIA,955.40,862.39
2001,36,BAHAMAS,892.70,"1,034.89"
